caseID,anthrax,babesiosis,blackleg_black_quarter,cbpp,colibacillosis,cowdriosis,fmd_foot_and_mouth_disease,fasciolosis,lsd_lumpy_skin_disease_,lungworm_verminous_pneumonia,pasteurellosis_pneumonic,gi_parasites,rabies,trypanosomosis,tuberculosis,zz_other,coenurosis,contagious_ecthyma_orf_,haemonchosis,hypoglycemia_pregnancy_toxemia,mange_mites,nasal_bot,pox,ppr,trichostrongylosis,brucellosis,ccpp,mastitis,camel_calf_diarrhoea,plant_poisoning,abscess,respiratory_infections,sudden_death_unkown_d,african_horse_sickness,ascaris_foals,gi_non_infectious_colic,habronemiasis,heat_stress,epizootic_lymphangitis,ulcerative_lymphangitis,resp_lower_bact,resp_upper_bact,resp_asth_lungworm,resp_viral,strangles,tetanus,hemorrhagic_septicemia,region,location,species,age,breed,sex,app_disease,user_disease
2265,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic,Cattle,Older than 2 Years,Local,Male,zz_Other,90
2266,-1,-1,-1,-1,-1,1.46533,-1,6.12274,-1,0.338175,13.6751,-1,-1,-1,-1,21.4158,0.127623,0.0638889,0.856973,1.51508,0.0172274,0.0589387,3.01417,45.814,5.51501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic,Sheep,0-6 Months,Local,Male,zz_Other,12
2267,-1,-1,-1,-1,-1,0.0456211,-1,-1,-1,0.00548171,1.83765,-1,-1,-1,-1,95.8138,-1,0.0317934,-1,7.71E-05,0.000172598,-1,1.53698,0.362183,0.000386619,0.00100168,0.34676,0.0181228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic,Goats,13-24 Months,Local,Female,zz_Other,51
2268,-1,-1,-1,-1,-1,21.7556,-1,-1,-1,0.301772,18.8228,-1,-1,-1,-1,8.36758,-1,2.84138,-1,0.617356,0.171996,-1,16.4917,17.0853,0.270093,1.75135,9.23418,2.28893,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic,Goats,Older than 2 Years,Local,Female,Mastitis,51
2269,0.193406,0.30047,0.804829,0.134138,0.134138,0.472166,0.206604,17.6785,0.205062,4.39727,0.0863418,11.9931,6.33533,2.23601,1.72684,53.0958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Cattle,Older than 2 Years,Local,Female,zz_Other,91
2270,1.04874,0.788441,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0268909,0.367867,0.726054,-1,22.4431,-1,-1,-1,-1,0.0602356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0602356,0.256001,0.154891,0.887399,-1,-1,19.3031,23.0595,0.134928,1.91308,28.6749,0.0946559,-1,Somali,jigjiga vet clinic ,Donkey,Older than 2 Years,Local,Male,zz_Other,53
2271,5.88235,5.88235,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.88235,5.88235,5.88235,-1,5.88235,-1,-1,-1,-1,5.88235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.88235,5.88235,5.88235,5.88235,-1,-1,5.88235,5.88235,5.88235,5.88235,5.88235,5.88235,-1,Somali,jigjiga vet clinic ,Donkey,13-24 Months,Local,Male,zz_Other,50
2272,-1,-1,-1,-1,-1,7.69231,-1,-1,-1,7.69231,7.69231,-1,-1,-1,-1,7.69231,-1,7.69231,-1,7.69231,7.69231,-1,7.69231,7.69231,7.69231,7.69231,7.69231,7.69231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Goats,13-24 Months,Local,Female,zz_Other,50
2273,-1,-1,-1,-1,-1,12.6262,-1,5.94662,-1,6.56894,10.1646,-1,-1,-1,-1,7.26041,1.21698,5.71152,6.91467,13.0549,2.42014,1.21698,9.81884,11.1326,5.94662,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Sheep,Older than 2 Years,Local,Female,Pox,50
2274,0.388605,0.447247,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.820958,0.0157071,0.142768,-1,96.9712,-1,-1,-1,-1,0.0273653,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.778444,0.302484,0.0137608,0.00390932,-1,-1,0.00390932,0.00614322,0.00174523,0.0100525,0.043212,0.0225177,-1,Somali,jigjiga vet clinic,Donkey,13-24 Months,Local,Male,GI parasites,12
2275,-1,-1,-1,-1,-1,1.03128,-1,9.14934,-1,0.457467,11.9551,-1,-1,-1,-1,26.2112,0.931877,0.0994002,1.10131,1.03128,0.0632547,0.430358,2.72786,36.5691,8.24118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic,Sheep,13-24 Months,Local,Female,zz_Other,12
2276,2.7121,9.93281,1.32264,22.2719,0.590464,13.4093,4.88769,0.0055664,7.01492,1.9726,23.0281,0.134279,3.03794,5.28395,4.20374,0.191985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic,Cattle,Older than 2 Years,Local,Female,Pasteurellosis_pneumonic,12
2277,-1,-1,-1,-1,-1,7.69231,-1,-1,-1,7.69231,7.69231,-1,-1,-1,-1,7.69231,-1,7.69231,-1,7.69231,7.69231,-1,7.69231,7.69231,7.69231,7.69231,7.69231,7.69231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Goats,Older than 2 Years,Local,Female,Mastitis,12
2278,13.1899,9.91613,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.338203,4.62662,9.13149,-1,7.23755,-1,-1,-1,-1,0.757576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.757576,3.2197,0.338203,11.1607,-1,-1,7.95455,9.13149,0.757576,10.7413,9.55087,1.19048,-1,Somali,jigjiga vet clinic ,Donkey,Older than 2 Years,Local,Female,Tetanus,12
2279,-1,-1,-1,-1,-1,1.6002,-1,1.99675,-1,16.649,2.4229,-1,-1,-1,-1,0.00630552,1.70887,2.84364,4.75436,1.70887,46.7241,1.5003,3.3301,1.36044,13.3942,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Sheep,Older than 2 Years,Local,Male,Mange mites,12
2280,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Cattle,Older than 2 Years,Local,Female,zz_Other,101
2281,-1,-1,-1,-1,-1,12.8801,-1,-1,-1,3.0117,10.7895,-1,-1,-1,-1,7.95322,-1,6.03801,-1,13.8012,3.84503,-1,11.6082,11.155,6.03801,3.0117,7.30994,2.55848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Goats,Older than 2 Years,Local,Male,Pox,101
2282,-1,-1,-1,-1,-1,11.4089,-1,-1,-1,1.94037,14.9685,-1,-1,-1,-1,10.8783,-1,1.59664,-1,0.890041,3.71871,-1,15.7577,18.5357,3.29994,0.49782,12.7283,3.77902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Goats,Older than 2 Years,Local,Female,zz_Other,72
2283,9.30233,8.99685,8.99685,8.99685,8.99685,8.99685,9.19393,0.246354,8.54356,2.21719,9.30233,0.551833,4.06977,5.79425,4.92708,0.867166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic,Cattle,Older than 2 Years,Local,Female,Blackleg /Black quarter,72
2284,1.83003,8.3031,8.89685,9.89431,10.5776,8.3031,9.32376,3.52207,8.88323,2.2513,9.89431,5.41857,0.60688,8.60469,3.52207,0.168088,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Cattle,Older than 2 Years,Local,Female,zz_Other,101
2285,-1,-1,-1,-1,-1,3.09088,-1,-1,-1,0.183357,7.15094,-1,-1,-1,-1,75.0849,-1,0.861125,-1,0.081856,0.081856,-1,2.59975,2.80275,0.183357,1.06413,5.17801,1.63712,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Goats,Older than 2 Years,Local,Male,zz_Other,51
2286,-1,-1,-1,-1,-1,0.036113,-1,0.0315673,-1,0.128953,3.89532,-1,-1,-1,-1,93.9284,4.57E-05,0.00787722,0.00259408,4.57E-05,0.000102302,0.00172451,1.14866,0.817755,0.00087687,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Sheep,Older than 2 Years,Local,Male,Contagious ecthyma /Orf/,51
2287,0.382133,59.0923,1.79677,4.47598,4.7851,3.75615,11.0836,0.525879,7.22337,0.23754,2.06605,0.0671208,0.0554417,3.93948,0.38954,0.123548,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Cattle,Older than 2 Years,Local,Male,Babesiosis,51
2288,-1,-1,-1,-1,-1,2.5695,-1,0.179685,-1,5.5051,18.3077,-1,-1,-1,-1,25.975,0.0187172,0.461192,0.0374344,0.0187172,0.0187172,0.706761,19.1365,27.0276,0.0374344,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Sheep,13-24 Months,Local,Female,Pox,51
2289,0.0382434,0.00588158,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.23127,0.0573314,0.0183225,-1,94.2513,-1,-1,-1,-1,0.000901697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.1158,0.149861,0.00780036,0.00485027,-1,-1,0.0107345,0.0233705,0.0357708,0.0418001,0.00126667,0.00545484,-1,Somali,,Donkey,Older than 2 Years,Local,Male,GI_non-infectious_colic,51
2290,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Cattle,Older than 2 Years,Local,Female,zz_Other,62
2291,-1,-1,-1,-1,-1,15.5212,-1,-1,-1,0.92075,16.0309,-1,-1,-1,-1,9.66787,-1,4.32424,-1,0.411049,0.411049,-1,13.0549,14.0743,0.411049,5.34364,11.608,8.22098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Goats,13-24 Months,Local,Female,zz_Other,1
2293,-1,-1,-1,-1,-1,6.82274,-1,-1,-1,0.0208585,4.37148,-1,-1,-1,-1,66.5091,-1,0.329947,-1,0.230184,0.00733686,-1,4.39679,14.3597,0.0418183,0.103761,2.46189,0.344448,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Goats,7-12 Months,Local,Female,zz_Other,85
2295,-1,-1,-1,-1,-1,7.14286,-1,7.14286,-1,7.14286,7.14286,-1,-1,-1,-1,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286,7.14286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Somali,jigjiga vet clinic ,Sheep,Older than 2 Years,Local,Female,zz_Other,50
