caseID,abdominal_pain_rolling_kicking_stomach,anaemia_pallor,ataxia_incoordinated_movement,anorexia_loss_of_appetite,constipation,depression_apathy,diarrhoea,abnormal_breathing_,dyspnoea_difficulty_breathing,staring_rough_coat,fecal_output_absence_of,hair_loss_alopecia,stunted_growth,lymphnode_enlargement,nasal_discharge_serous,submandibular_ventral_oedema,weakness,nasal_discharge_mucopurullent,weight_loss_emaciation,occular_discharge_invol_eyelid_closure,pyrexia_fever,swelling_neck_area,icterus_yellowish_mucous_membrane,coughing_including_owner_reported,dysentery_bloody_diarrhea,dehydration,occular_nasal_discharge,abortion,congested_mucous_membrane,dyspnoea_coughing,lameness,nodular_lesions_painful,sudden_death,region,location,species,age,breed,sex,app_disease,user_disease
302, ,Absent,Absent,Present,Absent, ,Absent, ,Present,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Male,Lungworm /Verminous pneumonia,50
303, ,Absent,Absent,Absent,Absent, ,Present, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Female,Colibacillosis,50
304,Absent,Absent,Absent,Present, ,Present,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Present,Present,Absent,Present,Present,Absent, ,Present, , , , , , , , ,Amhara,dessie-boru,Horse/Mule,2 - 4 years,Local,Female,Strangles,-1
305,Absent,Absent,Absent,Present, ,Present,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Present,Present,Present,Present,Present,Absent, ,Present, , , , , , , , ,Amhara,dessie-boru,Horse/Mule,2 - 4 years,Local,Male,Strangles,-1
306, ,Present,Absent,Absent,Absent, ,Absent, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Female,GI parasites,-1
307, ,Absent,Absent,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Amhara,dessie-boru,Sheep,Older than 4 years,Local,Male,Lungworm /Verminous pneumonia,-1
308, ,Present,Absent,Absent,Absent,Absent,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Present, , ,Amhara,dessie-boru,Sheep,2 - 4 years,Local,Female,Lungworm /Verminous pneumonia,-1
309, ,Absent,Present,Present,Absent, ,Absent, ,Absent,Absent, , ,Absent,Present, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Male,Blackleg /Black quarter,-1
310, ,,Absent,,,,, , ,, , ,,, , ,,, ,, ,Present, ,, ,,,, , ,, , ,Amhara,Chefa Robit /Kemissie,Goats,2 - 4 years,Local,Female,zz_Other,102
311,Present,Absent,Present,Present, ,Present,Absent,Present, , ,Absent,Absent, ,Absent, ,Absent, ,Present,Absent,Absent,Present,Absent, , ,Present, , , , , , , , ,Oromia,Dodola ,Horse/Mule,7 - 12 months,Local,Male,African horse sickness,-1
312, ,Absent,Present,Present, ,Present,Absent,Present, , ,Absent,Absent, ,Present, ,Present, ,Present, ,Present,Present,Present, , ,Absent, , , , , , , , ,Oromia,,Horse/Mule,Older than 4 years,Local,Male,African horse sickness,-1
313, ,Present,Present,Present,Present, ,Absent, ,Present,Present, , , , , , ,Absent,Present, ,Present, , , ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Male,FMD (Foot & Mouth Disease),-1
314, ,Absent,Present,Present, ,Present,Absent,Present, , ,Absent,Absent, ,Present, ,Present, ,Present, ,Present,Present,Present, , ,Absent, , , , , , , , ,Oromia,,Horse/Mule,Older than 4 years,Local,Male,African horse sickness,-1
315, ,Absent,Absent,Present, ,Present,Absent,Present, , ,Absent,Absent, ,Absent, , , ,Present, ,Present,Absent,Present,Present, ,Present, , , , , , , , ,Oromia,,Horse/Mule,Older than 4 years,Local,Male,African horse sickness,-1
316,Absent, ,Present,Absent, ,Present,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Present, ,Present,Present,Present,Absent, ,Absent, , , , , , , , ,Oromia,2,Sheep,0 - 6 months,Local,Male,Contagious ecthyma /Orf/,-1
317, ,Absent,Absent,Absent,Absent,Absent, , , ,Absent, , ,Absent,Present, , ,Present,Absent, ,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Oromia,2,Sheep,0 - 6 months,Local,Male,Contagious ecthyma /Orf/,-1
318, , ,Absent,Present,Absent, ,Present, ,Present,Present, , , ,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,kechema,Cattle,Older than 4 years,Local,Female,CBPP,-1
319, ,Absent,Absent,Absent,Absent, ,Present, ,Absent,Present, , , ,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,7 - 12 months,Cross,Female,GI parasites,-1
320,Present,Absent,Absent,Absent, ,Present,Absent,Present, , ,Absent,Absent, ,Absent, ,Absent, ,Present,Absent,Present,Absent,Present,Absent, ,Absent, , , , , , , , ,Oromia,Deneba,Cattle,Older than 4 years,Local,Female,CBPP,-1
321, , ,,,,,, , ,, , , ,, , ,,, ,, ,, ,, , ,,, , ,, , ,Oromia,Deneba,Cattle,Older than 4 years,Local,Female,CBPP,-1
322, ,Absent,Absent,Present,Absent, ,Absent, ,Present,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,Deneba,Cattle,Older than 4 years,Local,Female,CBPP,-1
323, ,Absent,Absent,Present,Absent, ,Absent, ,Present,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,1,Cattle,Older than 4 years,Cross,Female,CBPP,-1
324, , ,Absent,Present,Absent, ,Absent, ,Present,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,1,Cattle,Older than 4 years,Cross,Female,CBPP,-1
325, , ,Absent,Present,Absent, ,Absent, ,Present,Present, , ,Absent,Present, , ,Absent,Present, ,Present, ,Present, ,Present, ,Absent, , , , , , , ,Oromia,1,Cattle,Older than 4 years,Cross,Female,Babesiosis,-1
326, ,Absent,Absent,Present,Absent, ,Present, ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Female,Colibacillosis,-1
327, ,Absent,Present,Absent,Absent, , , ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Female,Cowdriosis,-1
328, ,Absent,Present,Absent,Absent, , , ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Female,Cowdriosis,-1
329, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Absent, , ,Absent,Present, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Male,Lungworm /Verminous pneumonia,-1
330, ,,,,, ,, ,,, , ,, , , ,,, ,, ,, ,, , , , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Male,GI parasites,-1
331, ,Present, ,Absent,Absent, ,Present, ,Present,Present, , ,Present,Present, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Female,Trypanosomosis,-1
332, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Present, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Female,Anthrax,-1
333,Absent,Absent,Absent,Present, ,Present,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Present,Present,Absent,Present,Present,Absent, ,Present, , , , , , , , ,Amhara,dessie-boru,Horse/Mule,Older than 4 years,Local,Male,Strangles,-1
334, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Absent, , ,Absent,Present, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Female,zz_Other,28
335, ,Present,Present,Present,Absent,Absent,Absent, , ,Present, , ,Present,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,dessie-boru,Sheep,2 - 4 years,Local,Female,Haemonchosis,-1
336, ,Present,Present,Absent,Absent,Absent,Present, , ,Present, , ,Present,Absent, , ,Present,Absent, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,dessie-boru,Sheep,2 - 4 years,Local,Female,Fasciolosis,-1
337, ,Absent,Present,Absent,Absent, ,Absent, ,Absent,Present, , ,Present,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Local,Female,GI parasites,-1
338, ,Absent,Absent,Absent,Absent,Absent,Present, , ,Present, , ,Present,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,dessie-boru,Sheep,2 - 4 years,Local,Female,zz_Other,12
339, ,,,,,,, , ,, , ,,, , ,,, ,, ,, ,, ,,,, , ,, , ,Amhara,dessie-boru,Sheep,Older than 4 years,Local,Female,Mange mites,-1
340, ,Absent,Absent,Absent,Absent, ,Present, ,Absent,Present, , ,Present,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Amhara,dessi-boru,Cattle,Older than 4 years,Local,Female,GI parasites,-1
345, ,Present,Absent,Absent,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Present, , ,Amhara,dessie-boru,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,-1
346, ,Absent,Absent,Present,Absent, ,Absent, ,Absent,Absent, , ,Absent,Present, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Male,Blackleg /Black quarter,-1
347, ,Absent,Present,Present,Absent, ,Absent, ,Absent,Absent, , ,Absent,Present, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Female,Blackleg /Black quarter,-1
348, ,Absent,Absent,Present,Absent, ,Absent, ,Absent,Absent, , ,Absent,Present, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Female,zz_Other,28
349,Absent,Present,Absent,Absent, ,Present,Present,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Present,Absent,Present,Absent,Absent,Absent, ,Absent, , , , , , , , ,Amhara,dessie-boru,Donkey,Older than 4 years,Local,Male,GI parasites,-1
351, ,Absent,Absent,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent,Present,Present, , ,Present, , ,Amhara,dessie-boru,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,-1
352, ,Absent,Absent,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Present, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Present, , ,Amhara,dessie-boru,Sheep,2 - 4 years,Local,Female,zz_Other,12
353, ,Absent,Absent,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Amhara,dessie-boru,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,-1
354,Absent,Absent,Absent,Present, ,Present,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Present,Present,Present,Present,Present,Present, ,Present, , , , , , , , ,Amhara,dessie-boru,Horse/Mule,Older than 4 years,Local,Female,Strangles,-1
355, ,Absent,Absent,Absent,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Present, , ,Amhara,dessie-boru,Sheep,Older than 4 years,Local,Female,Trichostrongylosis,-1
356, ,Absent,Present,Present,Absent, ,Absent, ,Absent,Absent, , ,Absent,Present, , ,Absent,Present, ,Absent, ,Present, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Local,Female,Blackleg /Black quarter,-1
357, ,Absent,Absent,Absent,Absent,Absent,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent,Present,Present, , ,Present, , ,Amhara,dessie-boru,Sheep,2 - 4 years,Local,Female,Lungworm /Verminous pneumonia,-1
358, ,Absent,Absent,Absent,Absent, ,Present, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Female,GI parasites,-1
359, ,Present,Absent,Absent,Absent,Absent,Present, , ,Absent, , ,Absent,Absent, , ,Present,Present, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,dessie-boru,Sheep,Older than 4 years,Local,Female,Trichostrongylosis,-1
360, ,Absent,Absent,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,Chefa Robit /Kemissie,Goats,2 - 4 years,Local,Male,zz_Other,80
361, , , ,Present, ,Present, , , , , , , , , , , , , , , ,Present, , , , , , , , ,Present, , ,Somalia,jigjiga clinic,Goats,2 - 4 years,Local,Female,Mastitis,50
362, ,Absent,Absent,Present,Absent, ,Absent, ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Cross,Female,FMD (Foot & Mouth Disease),-1
363, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Cross,Female,Lungworm /Verminous pneumonia,-1
364, ,Absent,Absent,Present,Absent, ,Absent, ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Female,FMD (Foot & Mouth Disease),-1
365, ,Absent,Absent,Present,Absent, ,Absent, ,Absent,Present, , ,Absent, , , ,Absent,Present, ,Present, ,Present, , , ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Female,LSD (Lumpy Skin Disease/,-1
366,,,, , ,,,, , ,,, ,, ,, ,,,,,,, ,, , , , , , , , ,Oromia,,Horse/Mule,Older than 4 years,Local,Female,Trypanosomosis,-1
367, ,Absent,Absent,Absent,Absent, , , ,Absent,Present, , ,Present,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,7 - 12 months,Cross,Female,Lungworm /Verminous pneumonia,-1
368,,,,, ,,,, , ,,, ,, ,, ,,,,,,, ,, , , , , , , , ,Oromia,,Horse/Mule,Older than 4 years,Local,Male,Resp_asth_lungworm,-1
369, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Cross,Female,Lungworm /Verminous pneumonia,-1
370, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Present, ,Absent, ,Absent, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Female,Lungworm /Verminous pneumonia,-1
371, ,,,,, ,, ,,, , ,,, , ,,, ,, ,, ,, ,, , , , , , , ,Oromia,,Cattle,7 - 12 months,Local,Male,Colibacillosis,-1
372, ,,,,, ,, ,,, , ,,, , ,,, ,, , , ,, ,, , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Female,Fasciolosis,-1
373, ,,,,, ,, ,,, , ,,, , ,,, ,, ,, ,, ,, , , , , , , ,Oromia,,Cattle,0 - 6 months,Local,Female,LSD (Lumpy Skin Disease/,-1
374, , ,Absent, , ,Present,Absent, , , ,Absent,Absent, ,Absent, ,Absent, ,Present,Absent,Present,Absent,Absent, , ,Absent, , , , , , , , ,Oromia,,Horse/Mule,Older than 4 years,Local,Male,Babesiosis,-1
375, ,Present,Absent,Present,Absent, ,Present, ,Present,Present, , ,Absent,Present, , ,Present,Present, ,Present, ,Present, , , ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Local,Female,LSD (Lumpy Skin Disease/,-1
376,Present,Absent,Absent,Present, ,Present,Absent,Present, , ,Absent,Absent, ,Absent, ,Absent, ,Present,Absent,Present,Absent,Present,Absent, ,Absent, , , , , , , , ,Oromia,,Horse/Mule,2 - 4 years,Local,Male,Heat stress,-1
378,Absent,Absent,Absent,Absent, ,Absent,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Absent,Absent,Absent,Present,Absent,Absent, ,Absent, , , , , , , , ,Oromia,,Horse/Mule,2 - 4 years,Local,Male,Habronemiasis,-1
379, ,Absent,Absent,Present,Absent, ,Absent, ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Oromia,,Cattle,Older than 4 years,Cross,Female,FMD (Foot & Mouth Disease),-1
380, , , ,Present,Present,Present,Present, , , , , ,Present, , , , ,Present, , , ,Present, , , , , , , , ,Present, , ,Somalia,jigjiga clinic,Goats,7 - 12 months,Local,Female,CCPP,-1
381, , , ,Present, ,Present,Present, , , , , , , , , , , , , , ,Present, , , , , , , , ,Present, , ,Somalia,jigjiga clinic,Sheep,7 - 12 months,Local,Female,Cowdriosis,-1
382, , , ,Present, ,Present, , , , , , , ,Absent, , , , , , , ,Present, , , , , , , , , , , ,Somalia,jigjiga clinic,Donkey,13 - 24 months,Local,Male,GI_non-infectious_colic,-1
383, , , ,Present, , , , , , , , , ,Present, , , , , ,Present, ,Present, , , , , , , , ,Present, , ,Somalia,jogjiga clinic,Goats,13 - 24 months,Local,Female,CCPP,-1
384, , , ,Present, , ,Present, , , , , , , , , , ,Present, ,Present, ,Present, , , , , , , , ,Present, , ,Somalia,jigjiga clinic,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,-1
385, ,Absent,Absent,Present,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Present, , ,Amhara,dessi-boru,Sheep,2 - 4 years,Local,Female,zz_Other,12
386, ,Absent,Absent,Absent,Absent, ,Present, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Amhara,dessi-boru,Cattle,2 - 4 years,Local,Male,GI parasites,-1
387, ,Absent,Absent,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Amhara,dessi-boru,Sheep,2 - 4 years,Local,Male,Pasteurellosis_pneumonic,-1
388, ,Absent,Absent,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Amhara,dessi-boru,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,-1
389, ,Absent,Absent,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,dessi-boru,Sheep,0 - 6 months,Local,Female,zz_Other,12
390,Absent,Absent,Absent,Present, ,Present,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Present,Absent,Present,Absent,Present,Absent, ,Present, , , , , , , , ,Amhara,dessi-boru,Donkey,Older than 4 years,Local,Female,Resp_lower_bact,-1
391, ,Absent,Absent,Absent,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Amhara,dessi-boru,Sheep,Older than 4 years,Local,Male,Pasteurellosis_pneumonic,-1
392, ,Absent,Absent,Absent,Absent,Present,Present, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,dessi-boru,Sheep,Older than 4 years,Local,Female,zz_Other,12
393,Absent,Absent,Absent,Absent, ,Present,Absent,Present, , ,Absent,Absent, ,Absent, ,Absent, ,Present,Present,Present,Absent,Absent,Absent, ,Present, , , , , , , , ,Amhara,dessi-boru,Donkey,2 - 4 years,Local,Female,Strangles,-1
394,Absent,Absent,Absent,Absent, ,Present,Absent,Present, , ,Absent,Absent, ,Absent, ,Absent, ,Present,Present,Present,Absent,Absent,Absent, ,Present, , , , , , , , ,Amhara,dessi-boru,Donkey,Older than 4 years,Local,Male,Strangles,-1
395, ,Absent,Absent,Absent,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, , ,Absent,Present, , ,Absent, , ,Amhara,dessi-boru,Sheep,2 - 4 years,Local,Male,Pasteurellosis_pneumonic,-1
396, ,Absent,Absent,Absent,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Amhara,dessi-boru,Sheep,2 - 4 years,Local,Male,Pasteurellosis_pneumonic,-1
397, ,Absent,Absent,Absent,Absent,Present,Absent, , ,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Amhara,dessi-boru,Sheep,2 - 4 years,Local,Female,Pasteurellosis_pneumonic,-1
398, ,Absent,Absent,Absent,Absent, ,Present, ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Amhara,dessi-boru,Cattle,Older than 4 years,Local,Male,GI parasites,-1
399, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Amhara,dessi-boru,Cattle,Older than 4 years,Local,Female,zz_Other,28
400, ,Absent,Present,Present,Absent, ,Absent, ,Absent,Absent, , ,Absent,Present, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Local,Male,FMD (Foot & Mouth Disease),-1
401, ,,,,, ,, ,,, , ,,, , ,,, ,, ,, ,, ,, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Female,FMD (Foot & Mouth Disease),-1
402,Absent,Absent,Absent,Present, ,Present,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Present,Present,Present,Present,Present,Present, ,Present, , , , , , , , ,Amhara,dessie-boru,Horse/Mule,2 - 4 years,Local,Male,Strangles,-1
403, ,Absent,Absent,Absent,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Amhara,dessi-boru,Sheep,Older than 4 years,Local,Male,Pasteurellosis_pneumonic,-1
404, ,Present,Absent,Absent,Absent, ,Absent, ,Absent,Present, , ,Present,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Local,Male,GI parasites,-1
405, ,Present,Absent,Absent,Absent,Present,Present, , ,Present, , ,Present,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,dessie-boru,Sheep,Older than 4 years,Local,Male,Trichostrongylosis,-1
406, ,Absent,Absent,Present,Absent,Present,Absent, , ,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent,Present,Present, , ,Present, , ,Amhara,dessie-boru,Sheep,Older than 4 years,Local,Male,Pasteurellosis_pneumonic,-1
407, ,Absent,Absent,Absent,Absent, ,Absent, ,Absent,Present, , ,Absent,Present, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Female,zz_Other,28
408,Absent,Absent,Absent,Present, ,Present,Absent,Absent, , ,Absent,Absent, ,Absent, ,Absent, ,Present,Present,Present,Present,Present,Present, ,Present, , , , , , , , ,Amhara,dessie-boru,Horse/Mule,Older than 4 years,Local,Male,Strangles,-1
409, ,Absent,Absent,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Present, ,Absent, ,Absent,Present,Present, , ,Present, , ,Amhara,dessie-boru,Sheep,Older than 4 years,Local,Female,Pasteurellosis_pneumonic,-1
410, ,Present,Absent,Absent,Absent,Absent,Present, , ,Present, , ,Absent,Absent, , ,Absent,Absent, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,dessie-boru,Sheep,Older than 4 years,Local,Female,Trichostrongylosis,-1
411, ,Present,Present,Present,Absent,Present,Absent, , ,Absent, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent,Absent,Absent, , ,Absent, , ,Amhara,kombolcha,Sheep,2 - 4 years,Local,Female,Hypoglycemia /Pregnancy toxemia,-1
412, ,Absent,Absent,Present,Absent,Present,Present, , ,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent,Present,Absent, , ,Absent, , ,Amhara,kombolcha,Goats,Older than 4 years,Local,Male,Trichostrongylosis,-1
413, ,Absent,Absent,Present,Absent,Absent,Absent, , ,Absent, , ,Absent,Absent, , , ,Present, ,Absent, ,Present, ,Absent, ,Absent,Absent,Present, , ,Present, , ,Amhara,dessie-boru,Sheep,2 - 4 years,Local,Male,Pasteurellosis_pneumonic,-1
414, ,Present,Absent,Absent,Absent, ,Present, ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Male,GI parasites,-1
415, ,Present,Absent,Absent,Absent, ,Present, ,Absent,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent, , , , , , , ,Amhara,dessie-boru,Cattle,Older than 4 years,Exotic,Female,GI parasites,-1
416, ,Present,Absent,Present,Absent,Absent,Present, , ,Present, , ,Absent,Absent, , ,Absent,Present, ,Present, ,Absent, ,Absent, ,Absent,Present,Absent, , ,Absent, , ,Amhara,dessie-boru,Sheep,2 - 4 years,Local,Male,Trichostrongylosis,-1
